Image num;label
"[[[0.63137255 0.60784314 0.47058824]
  [0.63137255 0.60784314 0.47058824]
  [0.62352941 0.60392157 0.46666667]
  ...
  [0.80392157 0.77647059 0.57647059]
  [0.8        0.77254902 0.57647059]
  [0.8        0.77254902 0.57647059]]

 [[0.63137255 0.60784314 0.47058824]
  [0.63137255 0.60784314 0.47058824]
  [0.62352941 0.60392157 0.46666667]
  ...
  [0.80392157 0.77647059 0.57647059]
  [0.8        0.77254902 0.57647059]
  [0.8        0.77254902 0.57647059]]

 [[0.62745098 0.60392157 0.47058824]
  [0.62745098 0.60392157 0.47058824]
  [0.62352941 0.6        0.46666667]
  ...
  [0.8        0.77647059 0.57647059]
  [0.79607843 0.77254902 0.57647059]
  [0.79607843 0.77254902 0.57647059]]

 ...

 [[0.78039216 0.77254902 0.56078431]
  [0.78039216 0.77254902 0.56078431]
  [0.78039216 0.77254902 0.56078431]
  ...
  [0.78039216 0.78823529 0.55686275]
  [0.78039216 0.78823529 0.55686275]
  [0.78039216 0.78823529 0.55686275]]

 [[0.78039216 0.77254902 0.56078431]
  [0.78039216 0.77254902 0.56078431]
  [0.78039216 0.77254902 0.56078431]
  ...
  [0.78039216 0.78823529 0.55686275]
  [0.78039216 0.78823529 0.55686275]
  [0.78039216 0.78823529 0.55686275]]

 [[0.78039216 0.77254902 0.56078431]
  [0.78039216 0.77254902 0.56078431]
  [0.78039216 0.77254902 0.56078431]
  ...
  [0.78039216 0.78823529 0.55686275]
  [0.78039216 0.78823529 0.55686275]
  [0.78039216 0.78823529 0.55686275]]]";1
"[[[0.04705882 0.01568627 0.10588235]
  [0.04705882 0.01568627 0.10588235]
  [0.05098039 0.01960784 0.10980392]
  ...
  [0.19215686 0.13333333 0.12156863]
  [0.19215686 0.13333333 0.12156863]
  [0.19215686 0.13333333 0.12156863]]

 [[0.04705882 0.01568627 0.10588235]
  [0.04705882 0.01568627 0.10588235]
  [0.05098039 0.01960784 0.10980392]
  ...
  [0.19215686 0.13333333 0.12156863]
  [0.19215686 0.13333333 0.12156863]
  [0.19215686 0.13333333 0.12156863]]

 [[0.05098039 0.01960784 0.11372549]
  [0.05098039 0.01960784 0.11372549]
  [0.05490196 0.01960784 0.11372549]
  ...
  [0.19215686 0.13333333 0.12156863]
  [0.19215686 0.13333333 0.12156863]
  [0.19215686 0.13333333 0.12156863]]

 ...

 [[0.59215686 0.60784314 0.71764706]
  [0.59215686 0.60784314 0.71764706]
  [0.57647059 0.59607843 0.70588235]
  ...
  [0.30980392 0.30980392 0.36862745]
  [0.3254902  0.3254902  0.38823529]
  [0.3254902  0.3254902  0.38823529]]

 [[0.58823529 0.60392157 0.71372549]
  [0.58823529 0.60392157 0.71372549]
  [0.57254902 0.58823529 0.70196078]
  ...
  [0.32156863 0.32156863 0.38039216]
  [0.32941176 0.32941176 0.39215686]
  [0.32941176 0.32941176 0.39215686]]

 [[0.58823529 0.60392157 0.71372549]
  [0.58823529 0.60392157 0.71372549]
  [0.57254902 0.58823529 0.70196078]
  ...
  [0.32156863 0.32156863 0.38039216]
  [0.32941176 0.32941176 0.39215686]
  [0.32941176 0.32941176 0.39215686]]]";1
"[[[0.02352941 0.05490196 0.05098039]
  [0.02352941 0.05490196 0.05098039]
  [0.02352941 0.05490196 0.05098039]
  ...
  [0.22745098 0.28627451 0.32156863]
  [0.22745098 0.28627451 0.32156863]
  [0.22745098 0.28627451 0.32156863]]

 [[0.02352941 0.05490196 0.05098039]
  [0.02352941 0.05490196 0.05098039]
  [0.02352941 0.05490196 0.05098039]
  ...
  [0.22745098 0.28627451 0.32156863]
  [0.22745098 0.28627451 0.32156863]
  [0.22745098 0.28627451 0.32156863]]

 [[0.03137255 0.0627451  0.05882353]
  [0.03137255 0.0627451  0.05882353]
  [0.03137255 0.0627451  0.05882353]
  ...
  [0.22745098 0.28627451 0.32156863]
  [0.22745098 0.28627451 0.32156863]
  [0.22745098 0.28627451 0.32156863]]

 ...

 [[0.09411765 0.18823529 0.35686275]
  [0.09411765 0.18823529 0.35686275]
  [0.12941176 0.22745098 0.4       ]
  ...
  [0.2        0.2627451  0.30980392]
  [0.2        0.2627451  0.30980392]
  [0.2        0.2627451  0.30980392]]

 [[0.06666667 0.16078431 0.3254902 ]
  [0.06666667 0.16078431 0.3254902 ]
  [0.10980392 0.20784314 0.37647059]
  ...
  [0.2        0.2627451  0.30980392]
  [0.2        0.2627451  0.30980392]
  [0.2        0.2627451  0.30980392]]

 [[0.06666667 0.16078431 0.3254902 ]
  [0.06666667 0.16078431 0.3254902 ]
  [0.10980392 0.20784314 0.37647059]
  ...
  [0.2        0.2627451  0.30980392]
  [0.2        0.2627451  0.30980392]
  [0.2        0.2627451  0.30980392]]]";0
"[[[0.0745098  0.18823529 0.30980392]
  [0.0745098  0.18823529 0.30980392]
  [0.08627451 0.2        0.32156863]
  ...
  [0.07058824 0.14509804 0.22745098]
  [0.07843137 0.15294118 0.23529412]
  [0.07843137 0.15294118 0.23529412]]

 [[0.0745098  0.18823529 0.30980392]
  [0.0745098  0.18823529 0.30980392]
  [0.08627451 0.2        0.32156863]
  ...
  [0.07058824 0.14509804 0.22745098]
  [0.07843137 0.15294118 0.23529412]
  [0.07843137 0.15294118 0.23529412]]

 [[0.07058824 0.18431373 0.30588235]
  [0.07058824 0.18431373 0.30588235]
  [0.08627451 0.2        0.32156863]
  ...
  [0.08235294 0.16078431 0.24313725]
  [0.09019608 0.16470588 0.25098039]
  [0.09019608 0.16470588 0.25098039]]

 ...

 [[0.         0.00392157 0.01568627]
  [0.         0.00392157 0.01568627]
  [0.         0.00392157 0.01176471]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.00392157 0.01568627]
  [0.         0.00392157 0.01568627]
  [0.         0.00392157 0.01568627]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.00392157 0.01568627]
  [0.         0.00392157 0.01568627]
  [0.         0.00392157 0.01568627]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]";0
"[[[0.01176471 0.         0.27058824]
  [0.01176471 0.         0.27058824]
  [0.00784314 0.         0.2627451 ]
  ...
  [0.10588235 0.12156863 0.1254902 ]
  [0.09803922 0.11372549 0.11764706]
  [0.09803922 0.11372549 0.11764706]]

 [[0.01176471 0.         0.27058824]
  [0.01176471 0.         0.27058824]
  [0.00784314 0.         0.2627451 ]
  ...
  [0.10588235 0.12156863 0.1254902 ]
  [0.09803922 0.11372549 0.11764706]
  [0.09803922 0.11372549 0.11764706]]

 [[0.00784314 0.         0.28627451]
  [0.00784314 0.         0.28627451]
  [0.01176471 0.00784314 0.28627451]
  ...
  [0.09019608 0.10588235 0.10980392]
  [0.08235294 0.09803922 0.10196078]
  [0.08235294 0.09803922 0.10196078]]

 ...

 [[0.29019608 0.25882353 0.65490196]
  [0.29019608 0.25882353 0.65490196]
  [0.35686275 0.33333333 0.72156863]
  ...
  [0.10196078 0.11764706 0.10980392]
  [0.10980392 0.12156863 0.11372549]
  [0.10980392 0.12156863 0.11372549]]

 [[0.2745098  0.24313725 0.63529412]
  [0.2745098  0.24313725 0.63529412]
  [0.34901961 0.32156863 0.70980392]
  ...
  [0.11764706 0.12941176 0.12156863]
  [0.1254902  0.1372549  0.12941176]
  [0.1254902  0.1372549  0.12941176]]

 [[0.2745098  0.24313725 0.63529412]
  [0.2745098  0.24313725 0.63529412]
  [0.34901961 0.32156863 0.70980392]
  ...
  [0.11764706 0.12941176 0.12156863]
  [0.1254902  0.1372549  0.12941176]
  [0.1254902  0.1372549  0.12941176]]]";0
"[[[0.1372549  0.1254902  0.10980392]
  [0.1372549  0.1254902  0.10980392]
  [0.1372549  0.1254902  0.10980392]
  ...
  [0.46666667 0.58039216 0.69019608]
  [0.46666667 0.58039216 0.68627451]
  [0.46666667 0.58039216 0.68627451]]

 [[0.1372549  0.1254902  0.10980392]
  [0.1372549  0.1254902  0.10980392]
  [0.1372549  0.1254902  0.10980392]
  ...
  [0.46666667 0.58039216 0.69019608]
  [0.46666667 0.58039216 0.68627451]
  [0.46666667 0.58039216 0.68627451]]

 [[0.1372549  0.1254902  0.10980392]
  [0.1372549  0.1254902  0.10980392]
  [0.1372549  0.1254902  0.10980392]
  ...
  [0.4627451  0.57647059 0.68627451]
  [0.4627451  0.57647059 0.68235294]
  [0.4627451  0.57647059 0.68235294]]

 ...

 [[0.25882353 0.25882353 0.25882353]
  [0.25882353 0.25882353 0.25882353]
  [0.25882353 0.25882353 0.25882353]
  ...
  [0.4        0.45882353 0.59215686]
  [0.39607843 0.45490196 0.58431373]
  [0.39607843 0.45490196 0.58431373]]

 [[0.25882353 0.25882353 0.25882353]
  [0.25882353 0.25882353 0.25882353]
  [0.25882353 0.25882353 0.25882353]
  ...
  [0.4        0.45882353 0.58823529]
  [0.39215686 0.45098039 0.58039216]
  [0.39215686 0.45098039 0.58039216]]

 [[0.25882353 0.25882353 0.25882353]
  [0.25882353 0.25882353 0.25882353]
  [0.25882353 0.25882353 0.25882353]
  ...
  [0.4        0.45882353 0.58823529]
  [0.39215686 0.45098039 0.58039216]
  [0.39215686 0.45098039 0.58039216]]]";1
"[[[0.09019608 0.09411765 0.10980392]
  [0.09019608 0.09411765 0.10980392]
  [0.09803922 0.10196078 0.11764706]
  ...
  [0.00784314 0.08627451 0.29019608]
  [0.00784314 0.09019608 0.29411765]
  [0.00784314 0.09019608 0.29411765]]

 [[0.09019608 0.09411765 0.10980392]
  [0.09019608 0.09411765 0.10980392]
  [0.09803922 0.10196078 0.11764706]
  ...
  [0.00784314 0.08627451 0.29019608]
  [0.00784314 0.09019608 0.29411765]
  [0.00784314 0.09019608 0.29411765]]

 [[0.09411765 0.09803922 0.11372549]
  [0.09411765 0.09803922 0.11372549]
  [0.09803922 0.10196078 0.11764706]
  ...
  [0.00784314 0.08627451 0.29019608]
  [0.00784314 0.09019608 0.29411765]
  [0.00784314 0.09019608 0.29411765]]

 ...

 [[0.10980392 0.12156863 0.14117647]
  [0.10980392 0.12156863 0.14117647]
  [0.10980392 0.12156863 0.14117647]
  ...
  [0.10980392 0.08627451 0.10588235]
  [0.10980392 0.08627451 0.10588235]
  [0.10980392 0.08627451 0.10588235]]

 [[0.10196078 0.11372549 0.13333333]
  [0.10196078 0.11372549 0.13333333]
  [0.10196078 0.11372549 0.13333333]
  ...
  [0.11372549 0.09019608 0.10980392]
  [0.11372549 0.09019608 0.10980392]
  [0.11372549 0.09019608 0.10980392]]

 [[0.10196078 0.11372549 0.13333333]
  [0.10196078 0.11372549 0.13333333]
  [0.10196078 0.11372549 0.13333333]
  ...
  [0.11372549 0.09019608 0.10980392]
  [0.11372549 0.09019608 0.10980392]
  [0.11372549 0.09019608 0.10980392]]]";1
"[[[0.09803922 0.10196078 0.09411765]
  [0.09803922 0.10196078 0.09411765]
  [0.09803922 0.10196078 0.09411765]
  ...
  [0.00392157 0.00392157 0.00392157]
  [0.00392157 0.00392157 0.00392157]
  [0.00392157 0.00392157 0.00392157]]

 [[0.09803922 0.10196078 0.09411765]
  [0.09803922 0.10196078 0.09411765]
  [0.09803922 0.10196078 0.09411765]
  ...
  [0.00392157 0.00392157 0.00392157]
  [0.00392157 0.00392157 0.00392157]
  [0.00392157 0.00392157 0.00392157]]

 [[0.09019608 0.09411765 0.08627451]
  [0.09019608 0.09411765 0.08627451]
  [0.09411765 0.09411765 0.08627451]
  ...
  [0.00392157 0.00392157 0.00392157]
  [0.00392157 0.00392157 0.00392157]
  [0.00392157 0.00392157 0.00392157]]

 ...

 [[0.18823529 0.30196078 0.40784314]
  [0.18823529 0.30196078 0.40784314]
  [0.21568627 0.32941176 0.43529412]
  ...
  [0.17647059 0.21176471 0.28627451]
  [0.18431373 0.22352941 0.29411765]
  [0.18431373 0.22352941 0.29411765]]

 [[0.19607843 0.30980392 0.41568627]
  [0.19607843 0.30980392 0.41568627]
  [0.21960784 0.33333333 0.43921569]
  ...
  [0.18431373 0.21960784 0.29019608]
  [0.19215686 0.23137255 0.30196078]
  [0.19215686 0.23137255 0.30196078]]

 [[0.19607843 0.30980392 0.41568627]
  [0.19607843 0.30980392 0.41568627]
  [0.21960784 0.33333333 0.43921569]
  ...
  [0.18431373 0.21960784 0.29019608]
  [0.19215686 0.23137255 0.30196078]
  [0.19215686 0.23137255 0.30196078]]]";1
"[[[0.68627451 0.65490196 0.69803922]
  [0.68627451 0.65490196 0.69803922]
  [0.68627451 0.65490196 0.69803922]
  ...
  [0.80784314 0.77647059 0.81960784]
  [0.80784314 0.77647059 0.81960784]
  [0.80784314 0.77647059 0.81960784]]

 [[0.68627451 0.65490196 0.69803922]
  [0.68627451 0.65490196 0.69803922]
  [0.68627451 0.65490196 0.69803922]
  ...
  [0.80784314 0.77647059 0.81960784]
  [0.80784314 0.77647059 0.81960784]
  [0.80784314 0.77647059 0.81960784]]

 [[0.68627451 0.65490196 0.69803922]
  [0.68627451 0.65490196 0.69803922]
  [0.68627451 0.65490196 0.69803922]
  ...
  [0.80784314 0.77647059 0.81960784]
  [0.80784314 0.77647059 0.81960784]
  [0.80784314 0.77647059 0.81960784]]

 ...

 [[0.45098039 0.43529412 0.48627451]
  [0.45098039 0.43529412 0.48627451]
  [0.48235294 0.46666667 0.51764706]
  ...
  [0.84313725 0.80392157 0.85490196]
  [0.84313725 0.80392157 0.85490196]
  [0.84313725 0.80392157 0.85490196]]

 [[0.43137255 0.41568627 0.4627451 ]
  [0.43137255 0.41568627 0.4627451 ]
  [0.46666667 0.45098039 0.49803922]
  ...
  [0.84313725 0.80392157 0.85490196]
  [0.84313725 0.80392157 0.85490196]
  [0.84313725 0.80392157 0.85490196]]

 [[0.43137255 0.41568627 0.4627451 ]
  [0.43137255 0.41568627 0.4627451 ]
  [0.46666667 0.45098039 0.49803922]
  ...
  [0.84313725 0.80392157 0.85490196]
  [0.84313725 0.80392157 0.85490196]
  [0.84313725 0.80392157 0.85490196]]]";0
"[[[0.19215686 0.19607843 0.13333333]
  [0.19215686 0.19607843 0.13333333]
  [0.19607843 0.2        0.13333333]
  ...
  [0.48627451 0.49019608 0.57647059]
  [0.57647059 0.58039216 0.6627451 ]
  [0.57647059 0.58039216 0.6627451 ]]

 [[0.19215686 0.19607843 0.13333333]
  [0.19215686 0.19607843 0.13333333]
  [0.19607843 0.2        0.13333333]
  ...
  [0.48627451 0.49019608 0.57647059]
  [0.57647059 0.58039216 0.6627451 ]
  [0.57647059 0.58039216 0.6627451 ]]

 [[0.19215686 0.19607843 0.13333333]
  [0.19215686 0.19607843 0.13333333]
  [0.19607843 0.2        0.13333333]
  ...
  [0.42352941 0.42745098 0.51372549]
  [0.49803922 0.50588235 0.58823529]
  [0.49803922 0.50588235 0.58823529]]

 ...

 [[0.44705882 0.48627451 0.31764706]
  [0.44705882 0.48627451 0.31764706]
  [0.44705882 0.48627451 0.32156863]
  ...
  [0.12941176 0.09803922 0.14117647]
  [0.13333333 0.10196078 0.14509804]
  [0.13333333 0.10196078 0.14509804]]

 [[0.45098039 0.49019608 0.3254902 ]
  [0.45098039 0.49019608 0.3254902 ]
  [0.45098039 0.49019608 0.3254902 ]
  ...
  [0.12941176 0.09803922 0.14117647]
  [0.13333333 0.10196078 0.14509804]
  [0.13333333 0.10196078 0.14509804]]

 [[0.45098039 0.49019608 0.3254902 ]
  [0.45098039 0.49019608 0.3254902 ]
  [0.45098039 0.49019608 0.3254902 ]
  ...
  [0.12941176 0.09803922 0.14117647]
  [0.13333333 0.10196078 0.14509804]
  [0.13333333 0.10196078 0.14509804]]]";1
